year_film,year_ceremony,ceremony,category,name,film,In movies dataset?,winner
1962,1963,35,ART DIRECTION (Black-and-White),"Art Direction:  Ted Haworth, Leon Barsacq, Vincent Korda;  Set Decoration:  Gabriel Bechir",The Longest Day,The Longest Day,FALSE
1962,1963,35,ART DIRECTION (Black-and-White),"Art Direction:  Alexander Golitzen, Henry Bumstead;  Set Decoration:  Oliver Emert",To Kill a Mockingbird,To Kill a Mockingbird,TRUE
1962,1963,35,ART DIRECTION (Color),"Art Direction:  John Box, John Stoll;  Set Decoration:  Dario Simoni",Lawrence of Arabia,Lawrence of Arabia,TRUE
1962,1963,35,CINEMATOGRAPHY (Black-and-White),"Jean Bourgoin, Walter Wottitz, (Henri Persin)",The Longest Day,The Longest Day,TRUE
1962,1963,35,CINEMATOGRAPHY (Black-and-White),Russell Harlan,To Kill a Mockingbird,To Kill a Mockingbird,FALSE
1962,1963,35,CINEMATOGRAPHY (Black-and-White),Ernest Haller,What Ever Happened to Baby Jane?,What Ever Happened to Baby Jane?,FALSE
1962,1963,35,CINEMATOGRAPHY (Color),Fred A. Young,Lawrence of Arabia,Lawrence of Arabia,TRUE
1962,1963,35,COSTUME DESIGN (Black-and-White),Edith Head,The Man Who Shot Liberty Valance,The Man Who Shot Liberty Valance,FALSE
1962,1963,35,COSTUME DESIGN (Black-and-White),Norma Koch,What Ever Happened to Baby Jane?,What Ever Happened to Baby Jane?,TRUE
1962,1963,35,DIRECTING,David Lean,Lawrence of Arabia,Lawrence of Arabia,TRUE
1962,1963,35,DIRECTING,Robert Mulligan,To Kill a Mockingbird,To Kill a Mockingbird,FALSE
1962,1963,35,FILM EDITING,Anne Coates,Lawrence of Arabia,Lawrence of Arabia,TRUE
1962,1963,35,FILM EDITING,Samuel E. Beetley,The Longest Day,The Longest Day,FALSE
1962,1963,35,FILM EDITING,Ferris Webster,The Manchurian Candidate,The Manchurian Candidate,FALSE
1962,1963,35,MUSIC (Music Score--substantially original),Maurice Jarre,Lawrence of Arabia,Lawrence of Arabia,TRUE
1962,1963,35,MUSIC (Music Score--substantially original),Elmer Bernstein,To Kill a Mockingbird,To Kill a Mockingbird,FALSE
1962,1963,35,BEST PICTURE,"Sam Spiegel, Producer",Lawrence of Arabia,Lawrence of Arabia,TRUE
1962,1963,35,BEST PICTURE,"Darryl F. Zanuck, Producer",The Longest Day,The Longest Day,FALSE
1962,1963,35,BEST PICTURE,"Alan J. Pakula, Producer",To Kill a Mockingbird,To Kill a Mockingbird,FALSE
1962,1963,35,SOUND,"Shepperton Studio Sound Department, John Cox, Sound Director",Lawrence of Arabia,Lawrence of Arabia,TRUE
1962,1963,35,SOUND,"Glen Glenn Sound Department, Joseph Kelly, Sound Director",What Ever Happened to Baby Jane?,What Ever Happened to Baby Jane?,FALSE
1962,1963,35,SPECIAL EFFECTS,Visual Effects by Robert MacDonald; Audible Effects by Jacques Maumont,The Longest Day,The Longest Day,TRUE
1962,1963,35,WRITING (Screenplay--based on material from another medium),"Robert Bolt, Michael Wilson",Lawrence of Arabia,Lawrence of Arabia,FALSE
1962,1963,35,WRITING (Screenplay--based on material from another medium),Horton Foote,To Kill a Mockingbird,To Kill a Mockingbird,TRUE
1963,1964,36,FILM EDITING,Ferris Webster,The Great Escape,The Great Escape,FALSE
1963,1964,36,MUSIC (Song),Music by Henry Mancini; Lyrics by Johnny Mercer,Charade,Charade,FALSE
1963,1964,36,SPECIAL EFFECTS,Ub Iwerks,The Birds,The Birds,FALSE
1964,1965,37,ACTOR,Rex Harrison,My Fair Lady,My Fair Lady,TRUE
1964,1965,37,ACTOR,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,FALSE
1964,1965,37,ACTOR IN A SUPPORTING ROLE,Stanley Holloway,My Fair Lady,My Fair Lady,FALSE
1964,1965,37,ACTRESS,Julie Andrews,Mary Poppins,Mary Poppins,TRUE
1964,1965,37,ACTRESS IN A SUPPORTING ROLE,Gladys Cooper,My Fair Lady,My Fair Lady,FALSE
1964,1965,37,ART DIRECTION (Color),"Art Direction:  Carroll Clark, William H. Tuntke;  Set Decoration:  Emile Kuri, Hal Gausman",Mary Poppins,Mary Poppins,FALSE
1964,1965,37,ART DIRECTION (Color),"Art Direction:  Gene Allen, Cecil Beaton;  Set Decoration:  George James Hopkins",My Fair Lady,My Fair Lady,TRUE
1964,1965,37,CINEMATOGRAPHY (Color),Edward Colman,Mary Poppins,Mary Poppins,FALSE
1964,1965,37,CINEMATOGRAPHY (Color),Harry Stradling,My Fair Lady,My Fair Lady,TRUE
1964,1965,37,COSTUME DESIGN (Color),Tony Walton,Mary Poppins,Mary Poppins,FALSE
1964,1965,37,COSTUME DESIGN (Color),Cecil Beaton,My Fair Lady,My Fair Lady,TRUE
1964,1965,37,DIRECTING,Stanley Kubrick,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,FALSE
1964,1965,37,DIRECTING,Robert Stevenson,Mary Poppins,Mary Poppins,FALSE
1964,1965,37,DIRECTING,George Cukor,My Fair Lady,My Fair Lady,TRUE
1964,1965,37,FILM EDITING,Cotton Warburton,Mary Poppins,Mary Poppins,TRUE
1964,1965,37,FILM EDITING,William Ziegler,My Fair Lady,My Fair Lady,FALSE
1964,1965,37,MUSIC (Music Score--substantially original),"Richard M. Sherman, Robert B. Sherman",Mary Poppins,Mary Poppins,TRUE
1964,1965,37,MUSIC (Scoring of Music--adaptation or treatment),George Martin,A Hard Day's Night,A Hard Day's Night,FALSE
1964,1965,37,MUSIC (Scoring of Music--adaptation or treatment),Irwin Kostal,Mary Poppins,Mary Poppins,FALSE
1964,1965,37,MUSIC (Scoring of Music--adaptation or treatment),Andre Previn,My Fair Lady,My Fair Lady,TRUE
1964,1965,37,MUSIC (Song),Music and Lyrics by Richard M. Sherman and Robert B. Sherman,Mary Poppins,Mary Poppins,TRUE
1964,1965,37,BEST PICTURE,"Stanley Kubrick, Producer",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,FALSE
1964,1965,37,BEST PICTURE,"Walt Disney and Bill Walsh, Producers",Mary Poppins,Mary Poppins,FALSE
1964,1965,37,BEST PICTURE,"Jack L. Warner, Producer",My Fair Lady,My Fair Lady,TRUE
1964,1965,37,SOUND,"Walt Disney Studio Sound Department, Robert O. Cook, Sound Director",Mary Poppins,Mary Poppins,FALSE
1964,1965,37,SOUND,"Warner Bros. Studio Sound Department, George R. Groves, Sound Director",My Fair Lady,My Fair Lady,TRUE
1964,1965,37,SOUND EFFECTS,Norman Wanstall,Goldfinger,Goldfinger,TRUE
1964,1965,37,SPECIAL VISUAL EFFECTS,"Peter Ellenshaw, Eustace Lycett, Hamilton Luske",Mary Poppins,Mary Poppins,TRUE
1964,1965,37,WRITING (Screenplay--based on material from another medium),"Stanley Kubrick, Peter George, Terry Southern",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,FALSE
1964,1965,37,WRITING (Screenplay--based on material from another medium),"Bill Walsh, Don DaGradi",Mary Poppins,Mary Poppins,FALSE
1964,1965,37,WRITING (Screenplay--based on material from another medium),Alan Jay Lerner,My Fair Lady,My Fair Lady,FALSE
1964,1965,37,WRITING (Story and Screenplay--written directly for the screen),Alun Owen,A Hard Day's Night,A Hard Day's Night,FALSE
1965,1966,38,ACTOR IN A SUPPORTING ROLE,Tom Courtenay,Doctor Zhivago,Doctor Zhivago,FALSE
1965,1966,38,ACTRESS,Julie Andrews,The Sound of Music,The Sound of Music,FALSE
1965,1966,38,ACTRESS IN A SUPPORTING ROLE,Peggy Wood,The Sound of Music,The Sound of Music,FALSE
1965,1966,38,ART DIRECTION (Color),"Art Direction:  John Box, Terry Marsh;  Set Decoration:  Dario Simoni",Doctor Zhivago,Doctor Zhivago,TRUE
1965,1966,38,ART DIRECTION (Color),"Art Direction:  Boris Leven;  Set Decoration:  Walter M. Scott, Ruby Levitt",The Sound of Music,The Sound of Music,FALSE
1965,1966,38,CINEMATOGRAPHY (Color),Freddie Young,Doctor Zhivago,Doctor Zhivago,TRUE
1965,1966,38,CINEMATOGRAPHY (Color),Ted McCord,The Sound of Music,The Sound of Music,FALSE
1965,1966,38,COSTUME DESIGN (Color),Phyllis Dalton,Doctor Zhivago,Doctor Zhivago,TRUE
1965,1966,38,COSTUME DESIGN (Color),Dorothy Jeakins,The Sound of Music,The Sound of Music,FALSE
1965,1966,38,DIRECTING,David Lean,Doctor Zhivago,Doctor Zhivago,FALSE
1965,1966,38,DIRECTING,Robert Wise,The Sound of Music,The Sound of Music,TRUE
1965,1966,38,FILM EDITING,Norman Savage,Doctor Zhivago,Doctor Zhivago,FALSE
1965,1966,38,FILM EDITING,William Reynolds,The Sound of Music,The Sound of Music,TRUE
1965,1966,38,MUSIC (Music Score--substantially original),Maurice Jarre,Doctor Zhivago,Doctor Zhivago,TRUE
1965,1966,38,MUSIC (Scoring of Music--adaptation or treatment),Irwin Kostal,The Sound of Music,The Sound of Music,TRUE
1965,1966,38,BEST PICTURE,"Carlo Ponti, Producer",Doctor Zhivago,Doctor Zhivago,FALSE
1965,1966,38,BEST PICTURE,"Robert Wise, Producer",The Sound of Music,The Sound of Music,TRUE
1965,1966,38,SOUND,"Metro-Goldwyn-Mayer British Studio Sound Department, A. W. Watkins, Sound Director; and Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",Doctor Zhivago,Doctor Zhivago,FALSE
1965,1966,38,SOUND,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",The Sound of Music,The Sound of Music,TRUE
1965,1966,38,WRITING (Screenplay--based on material from another medium),Robert Bolt,Doctor Zhivago,Doctor Zhivago,TRUE
1966,1967,39,ACTOR,Richard Burton,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,FALSE
1966,1967,39,ACTOR,Paul Scofield,A Man for All Seasons,A Man for All Seasons,TRUE
1966,1967,39,ACTOR IN A SUPPORTING ROLE,George Segal,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,FALSE
1966,1967,39,ACTOR IN A SUPPORTING ROLE,Robert Shaw,A Man for All Seasons,A Man for All Seasons,FALSE
1966,1967,39,ACTRESS,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,TRUE
1966,1967,39,ACTRESS IN A SUPPORTING ROLE,Sandy Dennis,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,TRUE
1966,1967,39,ACTRESS IN A SUPPORTING ROLE,Wendy Hiller,A Man for All Seasons,A Man for All Seasons,FALSE
1966,1967,39,ART DIRECTION (Black-and-White),Art Direction:  Richard Sylbert;  Set Decoration:  George James Hopkins,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,TRUE
1966,1967,39,CINEMATOGRAPHY (Black-and-White),Haskell Wexler,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,TRUE
1966,1967,39,CINEMATOGRAPHY (Color),Ted Moore,A Man for All Seasons,A Man for All Seasons,TRUE
1966,1967,39,COSTUME DESIGN (Black-and-White),Irene Sharaff,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,TRUE
1966,1967,39,COSTUME DESIGN (Color),"Elizabeth Haffenden, Joan Bridge",A Man for All Seasons,A Man for All Seasons,TRUE
1966,1967,39,DIRECTING,Fred Zinnemann,A Man for All Seasons,A Man for All Seasons,TRUE
1966,1967,39,DIRECTING,Mike Nichols,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,FALSE
1966,1967,39,FILM EDITING,Sam O'Steen,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,FALSE
1966,1967,39,MUSIC (Original Music Score),Alex North,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,FALSE
1966,1967,39,BEST PICTURE,"Fred Zinnemann, Producer",A Man for All Seasons,A Man for All Seasons,TRUE
1966,1967,39,BEST PICTURE,"Ernest Lehman, Producer",Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,FALSE
1966,1967,39,SOUND,"Warner Bros. Studio Sound Department, George R. Groves, Sound Director",Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,FALSE
1966,1967,39,WRITING (Screenplay--based on material from another medium),Robert Bolt,A Man for All Seasons,A Man for All Seasons,TRUE
1966,1967,39,WRITING (Screenplay--based on material from another medium),Ernest Lehman,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,FALSE
1967,1968,40,ACTOR,Warren Beatty,Bonnie and Clyde,Bonnie and Clyde,FALSE
1967,1968,40,ACTOR,Dustin Hoffman,The Graduate,The Graduate,FALSE
1967,1968,40,ACTOR,Paul Newman,Cool Hand Luke,Cool Hand Luke,FALSE
1967,1968,40,ACTOR,Rod Steiger,In the Heat of the Night,In the Heat of the Night,TRUE
1967,1968,40,ACTOR,Spencer Tracy,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner,FALSE
1967,1968,40,ACTOR IN A SUPPORTING ROLE,John Cassavetes,The Dirty Dozen,The Dirty Dozen,FALSE
1967,1968,40,ACTOR IN A SUPPORTING ROLE,Gene Hackman,Bonnie and Clyde,Bonnie and Clyde,FALSE
1967,1968,40,ACTOR IN A SUPPORTING ROLE,Cecil Kellaway,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner,FALSE
1967,1968,40,ACTOR IN A SUPPORTING ROLE,George Kennedy,Cool Hand Luke,Cool Hand Luke,TRUE
1967,1968,40,ACTOR IN A SUPPORTING ROLE,Michael J. Pollard,Bonnie and Clyde,Bonnie and Clyde,FALSE
1967,1968,40,ACTRESS,Anne Bancroft,The Graduate,The Graduate,FALSE
1967,1968,40,ACTRESS,Faye Dunaway,Bonnie and Clyde,Bonnie and Clyde,FALSE
1967,1968,40,ACTRESS,Audrey Hepburn,Wait until Dark,Wait Until Dark,FALSE
1967,1968,40,ACTRESS,Katharine Hepburn,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner,TRUE
1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Estelle Parsons,Bonnie and Clyde,Bonnie and Clyde,TRUE
1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Beah Richards,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner,FALSE
1967,1968,40,ACTRESS IN A SUPPORTING ROLE,Katharine Ross,The Graduate,The Graduate,FALSE
1967,1968,40,ART DIRECTION,Art Direction:  Robert Clatworthy;  Set Decoration:  Frank Tuttle,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner,FALSE
1967,1968,40,CINEMATOGRAPHY,Burnett Guffey,Bonnie and Clyde,Bonnie and Clyde,TRUE
1967,1968,40,CINEMATOGRAPHY,Robert Surtees,The Graduate,The Graduate,FALSE
1967,1968,40,COSTUME DESIGN,Theadora Van Runkle,Bonnie and Clyde,Bonnie and Clyde,FALSE
1967,1968,40,DIRECTING,Arthur Penn,Bonnie and Clyde,Bonnie and Clyde,FALSE
1967,1968,40,DIRECTING,Mike Nichols,The Graduate,The Graduate,TRUE
1967,1968,40,DIRECTING,Stanley Kramer,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner,FALSE
1967,1968,40,DIRECTING,Norman Jewison,In the Heat of the Night,In the Heat of the Night,FALSE
1967,1968,40,FILM EDITING,Michael Luciano,The Dirty Dozen,The Dirty Dozen,FALSE
1967,1968,40,FILM EDITING,Robert C. Jones,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner,FALSE
1967,1968,40,FILM EDITING,Hal Ashby,In the Heat of the Night,In the Heat of the Night,TRUE
1967,1968,40,MUSIC (Original Music Score),Lalo Schifrin,Cool Hand Luke,Cool Hand Luke,FALSE
1967,1968,40,MUSIC (Scoring of Music--adaptation or treatment),DeVol,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner,FALSE
1967,1968,40,MUSIC (Song),Music and Lyrics by Terry Gilkyson,The Jungle Book,The Jungle Book,FALSE
1967,1968,40,MUSIC (Song),Music by Burt Bacharach; Lyrics by Hal David,Casino Royale,Casino Royale,FALSE
1967,1968,40,BEST PICTURE,"Warren Beatty, Producer",Bonnie and Clyde,Bonnie and Clyde,FALSE
1967,1968,40,BEST PICTURE,"Lawrence Turman, Producer",The Graduate,The Graduate,FALSE
1967,1968,40,BEST PICTURE,"Stanley Kramer, Producer",Guess Who's Coming to Dinner,Guess Who's Coming to Dinner,FALSE
1967,1968,40,BEST PICTURE,"Walter Mirisch, Producer",In the Heat of the Night,In the Heat of the Night,TRUE
1967,1968,40,SOUND,Metro-Goldwyn-Mayer Studio Sound Department,The Dirty Dozen,The Dirty Dozen,FALSE
1967,1968,40,SOUND,Samuel Goldwyn Studio Sound Department,In the Heat of the Night,In the Heat of the Night,TRUE
1967,1968,40,SOUND EFFECTS,John Poyner,The Dirty Dozen,The Dirty Dozen,TRUE
1967,1968,40,SOUND EFFECTS,James A. Richard,In the Heat of the Night,In the Heat of the Night,FALSE
1967,1968,40,WRITING (Screenplay--based on material from another medium),"Donn Pearce, Frank R. Pierson",Cool Hand Luke,Cool Hand Luke,FALSE
1967,1968,40,WRITING (Screenplay--based on material from another medium),"Calder Willingham, Buck Henry",The Graduate,The Graduate,FALSE
1967,1968,40,WRITING (Screenplay--based on material from another medium),Stirling Silliphant,In the Heat of the Night,In the Heat of the Night,TRUE
1967,1968,40,WRITING (Story and Screenplay--written directly for the screen),"David Newman, Robert Benton",Bonnie and Clyde,Bonnie and Clyde,FALSE
1967,1968,40,WRITING (Story and Screenplay--written directly for the screen),William Rose,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner,TRUE
1968,1969,41,ACTOR,Peter O'Toole,The Lion in Winter,The Lion in Winter,FALSE
1968,1969,41,ACTRESS,Katharine Hepburn,The Lion in Winter,The Lion in Winter,TRUE
1968,1969,41,ACTRESS IN A SUPPORTING ROLE,Ruth Gordon,Rosemary's Baby,Rosemary's Baby,TRUE
1968,1969,41,ART DIRECTION,"Art Direction:  Tony Masters, Harry Lange, Ernie Archer",2001: A Space Odyssey,2001: A Space Odyssey,FALSE
1968,1969,41,COSTUME DESIGN,Margaret Furse,The Lion in Winter,The Lion in Winter,FALSE
1968,1969,41,COSTUME DESIGN,Morton Haack,Planet of the Apes,Planet of the Apes,FALSE
1968,1969,41,DIRECTING,Anthony Harvey,The Lion in Winter,The Lion in Winter,FALSE
1968,1969,41,DIRECTING,Stanley Kubrick,2001: A Space Odyssey,2001: A Space Odyssey,FALSE
1968,1969,41,FILM EDITING,Frank Bracht,The Odd Couple,The Odd Couple,FALSE
1968,1969,41,MUSIC (Original Score--for a motion picture [not a musical]),John Barry,The Lion in Winter,The Lion in Winter,TRUE
1968,1969,41,MUSIC (Original Score--for a motion picture [not a musical]),Jerry Goldsmith,Planet of the Apes,Planet of the Apes,FALSE
1968,1969,41,BEST PICTURE,"Martin Poll, Producer",The Lion in Winter,The Lion in Winter,FALSE
1968,1969,41,SPECIAL VISUAL EFFECTS,Stanley Kubrick,2001: A Space Odyssey,2001: A Space Odyssey,TRUE
1968,1969,41,WRITING (Screenplay--based on material from another medium),James Goldman,The Lion in Winter,The Lion in Winter,TRUE
1968,1969,41,WRITING (Screenplay--based on material from another medium),Neil Simon,The Odd Couple,The Odd Couple,FALSE
1968,1969,41,WRITING (Screenplay--based on material from another medium),Roman Polanski,Rosemary's Baby,Rosemary's Baby,FALSE
1968,1969,41,WRITING (Story and Screenplay--written directly for the screen),"Stanley Kubrick, Arthur C. Clarke",2001: A Space Odyssey,2001: A Space Odyssey,FALSE
1969,1970,42,ACTOR,Dustin Hoffman,Midnight Cowboy,Midnight Cowboy,FALSE
1969,1970,42,ACTOR,Jon Voight,Midnight Cowboy,Midnight Cowboy,FALSE
1969,1970,42,ACTOR,John Wayne,True Grit,True Grit,TRUE
1969,1970,42,ACTRESS IN A SUPPORTING ROLE,Sylvia Miles,Midnight Cowboy,Midnight Cowboy,FALSE
1969,1970,42,CINEMATOGRAPHY,Conrad Hall,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid,TRUE
1969,1970,42,DIRECTING,George Roy Hill,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid,FALSE
1969,1970,42,DIRECTING,John Schlesinger,Midnight Cowboy,Midnight Cowboy,TRUE
1969,1970,42,FILM EDITING,Hugh A. Robertson,Midnight Cowboy,Midnight Cowboy,FALSE
1969,1970,42,MUSIC (Original Score--for a motion picture [not a musical]),Burt Bacharach,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid,TRUE
1969,1970,42,MUSIC (Original Score--for a motion picture [not a musical]),Jerry Fielding,The Wild Bunch,The Wild Bunch,FALSE
1969,1970,42,MUSIC (Song--Original for the Picture),Music by Burt Bacharach; Lyrics by Hal David,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid,TRUE
1969,1970,42,MUSIC (Song--Original for the Picture),Music by Elmer Bernstein; Lyrics by Don Black,True Grit,True Grit,FALSE
1969,1970,42,BEST PICTURE,"John Foreman, Producer",Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid,FALSE
1969,1970,42,BEST PICTURE,"Jerome Hellman, Producer",Midnight Cowboy,Midnight Cowboy,TRUE
1969,1970,42,SOUND,"William Edmondson, David Dockendorf",Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid,FALSE
1969,1970,42,WRITING (Screenplay--based on material from another medium),Waldo Salt,Midnight Cowboy,Midnight Cowboy,TRUE
1969,1970,42,WRITING (Story and Screenplay--based on material not previously published or produced),William Goldman,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid,TRUE
1969,1970,42,WRITING (Story and Screenplay--based on material not previously published or produced),"Story by Walon Green, Roy N. Sickner;  Screenplay by Walon Green, Sam Peckinpah",The Wild Bunch,The Wild Bunch,FALSE
1970,1971,43,ACTOR,George C. Scott,Patton,Patton,TRUE
1970,1971,43,ART DIRECTION,"Art Direction:  Urie McCleary, Gil Parrondo;  Set Decoration:  Antonio Mateos, Pierre-Louis Thevenet",Patton,Patton,TRUE
1970,1971,43,CINEMATOGRAPHY,Fred Koenekamp,Patton,Patton,FALSE
1970,1971,43,DIRECTING,Franklin J. Schaffner,Patton,Patton,TRUE
1970,1971,43,FILM EDITING,Hugh S. Fowler,Patton,Patton,TRUE
1970,1971,43,MUSIC (Original Score),Jerry Goldsmith,Patton,Patton,FALSE
1970,1971,43,BEST PICTURE,"Frank McCarthy, Producer",Patton,Patton,TRUE
1970,1971,43,SOUND,"Douglas Williams, Don Bassman",Patton,Patton,TRUE
1970,1971,43,SPECIAL VISUAL EFFECTS,Alex Weldon,Patton,Patton,FALSE
1970,1971,43,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),"Francis Ford Coppola, Edmund H. North",Patton,Patton,TRUE
1971,1972,44,ACTOR,Gene Hackman,The French Connection,The French Connection,TRUE
1971,1972,44,ACTOR,Topol,Fiddler on the Roof,Fiddler on the Roof,FALSE
1971,1972,44,ACTOR IN A SUPPORTING ROLE,Jeff Bridges,The Last Picture Show,The Last Picture Show,FALSE
1971,1972,44,ACTOR IN A SUPPORTING ROLE,Leonard Frey,Fiddler on the Roof,Fiddler on the Roof,FALSE
1971,1972,44,ACTOR IN A SUPPORTING ROLE,Ben Johnson,The Last Picture Show,The Last Picture Show,TRUE
1971,1972,44,ACTOR IN A SUPPORTING ROLE,Roy Scheider,The French Connection,The French Connection,FALSE
1971,1972,44,ACTRESS IN A SUPPORTING ROLE,Ellen Burstyn,The Last Picture Show,The Last Picture Show,FALSE
1971,1972,44,ACTRESS IN A SUPPORTING ROLE,Cloris Leachman,The Last Picture Show,The Last Picture Show,TRUE
1971,1972,44,ART DIRECTION,"Art Direction:  Robert Boyle, Michael Stringer;  Set Decoration:  Peter Lamont",Fiddler on the Roof,Fiddler on the Roof,FALSE
1971,1972,44,CINEMATOGRAPHY,Oswald Morris,Fiddler on the Roof,Fiddler on the Roof,TRUE
1971,1972,44,CINEMATOGRAPHY,Owen Roizman,The French Connection,The French Connection,FALSE
1971,1972,44,CINEMATOGRAPHY,Robert Surtees,The Last Picture Show,The Last Picture Show,FALSE
1971,1972,44,DIRECTING,Stanley Kubrick,A Clockwork Orange,A Clockwork Orange,FALSE
1971,1972,44,DIRECTING,Norman Jewison,Fiddler on the Roof,Fiddler on the Roof,FALSE
1971,1972,44,DIRECTING,William Friedkin,The French Connection,The French Connection,TRUE
1971,1972,44,DIRECTING,Peter Bogdanovich,The Last Picture Show,The Last Picture Show,FALSE
1971,1972,44,FILM EDITING,Bill Butler,A Clockwork Orange,A Clockwork Orange,FALSE
1971,1972,44,FILM EDITING,Jerry Greenberg,The French Connection,The French Connection,TRUE
1971,1972,44,MUSIC (Scoring: Adaptation and Original Song Score),Adaptation Score by John Williams,Fiddler on the Roof,Fiddler on the Roof,TRUE
1971,1972,44,BEST PICTURE,"Stanley Kubrick, Producer",A Clockwork Orange,A Clockwork Orange,FALSE
1971,1972,44,BEST PICTURE,"Norman Jewison, Producer",Fiddler on the Roof,Fiddler on the Roof,FALSE
1971,1972,44,BEST PICTURE,"Philip D'Antoni, Producer",The French Connection,The French Connection,TRUE
1971,1972,44,BEST PICTURE,"Stephen J. Friedman, Producer",The Last Picture Show,The Last Picture Show,FALSE
1971,1972,44,SOUND,"Gordon K. McCallum, David Hildyard",Fiddler on the Roof,Fiddler on the Roof,TRUE
1971,1972,44,SOUND,"Theodore Soderberg, Christopher Newman",The French Connection,The French Connection,FALSE
1971,1972,44,WRITING (Screenplay--based on material from another medium),Stanley Kubrick,A Clockwork Orange,A Clockwork Orange,FALSE
1971,1972,44,WRITING (Screenplay--based on material from another medium),Ernest Tidyman,The French Connection,The French Connection,TRUE
1971,1972,44,WRITING (Screenplay--based on material from another medium),"Larry McMurtry, Peter Bogdanovich",The Last Picture Show,The Last Picture Show,FALSE
1972,1973,45,ACTOR,Marlon Brando,The Godfather,The Godfather,TRUE
1972,1973,45,ACTOR,Michael Caine,Sleuth,Sleuth,FALSE
1972,1973,45,ACTOR,Laurence Olivier,Sleuth,Sleuth,FALSE
1972,1973,45,ACTOR IN A SUPPORTING ROLE,James Caan,The Godfather,The Godfather,FALSE
1972,1973,45,ACTOR IN A SUPPORTING ROLE,Robert Duvall,The Godfather,The Godfather,FALSE
1972,1973,45,ACTOR IN A SUPPORTING ROLE,Joel Grey,Cabaret,Cabaret,TRUE
1972,1973,45,ACTOR IN A SUPPORTING ROLE,Al Pacino,The Godfather,The Godfather,FALSE
1972,1973,45,ACTRESS,Liza Minnelli,Cabaret,Cabaret,TRUE
1972,1973,45,ART DIRECTION,"Art Direction:  Rolf Zehetbauer, Jurgen Kiebach;  Set Decoration:  Herbert Strabel",Cabaret,Cabaret,TRUE
1972,1973,45,CINEMATOGRAPHY,Geoffrey Unsworth,Cabaret,Cabaret,TRUE
1972,1973,45,COSTUME DESIGN,Anna Hill Johnstone,The Godfather,The Godfather,FALSE
1972,1973,45,DIRECTING,Bob Fosse,Cabaret,Cabaret,TRUE
1972,1973,45,DIRECTING,John Boorman,Deliverance,Deliverance,FALSE
1972,1973,45,DIRECTING,Francis Ford Coppola,The Godfather,The Godfather,FALSE
1972,1973,45,DIRECTING,Joseph L. Mankiewicz,Sleuth,Sleuth,FALSE
1972,1973,45,DOCUMENTARY (Feature),"Marvin Worth and Arnold Perl, Producers",Malcolm X,Malcolm X,FALSE
